Category: All categories

Month,AAPL: (Worldwide)
2011-01,45
2011-02,34
2011-03,33
2011-04,33
2011-05,21
2011-06,26
2011-07,38
2011-08,53
2011-09,32
2011-10,61
2011-11,28
2011-12,23
2012-01,35
2012-02,44
2012-03,63
2012-04,70
2012-05,50
2012-06,39
2012-07,42
2012-08,55
2012-09,66
2012-10,71
2012-11,68
2012-12,63
2013-01,94
2013-02,64
2013-03,56
2013-04,73
2013-05,60
2013-06,46
2013-07,52
2013-08,61
2013-09,70
2013-10,63
2013-11,39
2013-12,46
2014-01,48
2014-02,42
2014-03,28
2014-04,42
2014-05,44
2014-06,59
2014-07,50
2014-08,43
2014-09,67
2014-10,50
2014-11,40
2014-12,36
2015-01,43
2015-02,47
2015-03,44
2015-04,45
2015-05,36
2015-06,31
2015-07,44
2015-08,53
2015-09,42
2015-10,40
2015-11,31
2015-12,27
2016-01,50
2016-02,34
2016-03,35
2016-04,42
2016-05,44
2016-06,32
2016-07,35
2016-08,32
2016-09,39
2016-10,35
2016-11,27
2016-12,22
2017-01,27
2017-02,37
2017-03,28
2017-04,21
2017-05,38
2017-06,29
2017-07,24
2017-08,38
2017-09,32
2017-10,27
2017-11,35
2017-12,26
2018-01,32
2018-02,42
2018-03,28
2018-04,29
2018-05,40
2018-06,27
2018-07,27
2018-08,44
2018-09,35
2018-10,34
2018-11,52
2018-12,37
2019-01,53
2019-02,28
2019-03,31
2019-04,33
2019-05,34
2019-06,24
2019-07,29
2019-08,30
2019-09,24
2019-10,32
2019-11,27
2019-12,27
2020-01,42
2020-02,43
2020-03,63
2020-04,40
2020-05,32
2020-06,37
2020-07,46
2020-08,79
2020-09,100
2020-10,68
2020-11,50
2020-12,51
