Category: All categories

Month,AMZN: (Worldwide)
2011-01,6
2011-02,5
2011-03,6
2011-04,7
2011-05,6
2011-06,4
2011-07,6
2011-08,7
2011-09,7
2011-10,10
2011-11,8
2011-12,7
2012-01,8
2012-02,9
2012-03,5
2012-04,10
2012-05,7
2012-06,4
2012-07,6
2012-08,5
2012-09,6
2012-10,7
2012-11,6
2012-12,6
2013-01,10
2013-02,7
2013-03,5
2013-04,8
2013-05,7
2013-06,6
2013-07,9
2013-08,7
2013-09,6
2013-10,11
2013-11,9
2013-12,11
2014-01,12
2014-02,15
2014-03,10
2014-04,16
2014-05,12
2014-06,14
2014-07,16
2014-08,11
2014-09,9
2014-10,13
2014-11,10
2014-12,10
2015-01,12
2015-02,11
2015-03,7
2015-04,13
2015-05,8
2015-06,6
2015-07,18
2015-08,12
2015-09,10
2015-10,17
2015-11,15
2015-12,14
2016-01,27
2016-02,22
2016-03,15
2016-04,22
2016-05,23
2016-06,19
2016-07,25
2016-08,15
2016-09,19
2016-10,27
2016-11,30
2016-12,19
2017-01,25
2017-02,30
2017-03,20
2017-04,34
2017-05,35
2017-06,44
2017-07,46
2017-08,40
2017-09,27
2017-10,39
2017-11,37
2017-12,29
2018-01,48
2018-02,75
2018-03,63
2018-04,83
2018-05,49
2018-06,54
2018-07,76
2018-08,69
2018-09,65
2018-10,100
2018-11,88
2018-12,76
2019-01,79
2019-02,73
2019-03,84
2019-04,97
2019-05,96
2019-06,70
2019-07,61
2019-08,54
2019-09,40
2019-10,50
2019-11,35
2019-12,38
2020-01,51
2020-02,61
2020-03,78
2020-04,78
2020-05,62
2020-06,57
2020-07,94
2020-08,67
2020-09,68
2020-10,66
2020-11,56
2020-12,49
