Category: All categories

Month,NVDA: (Worldwide)
2011-01,20
2011-02,16
2011-03,16
2011-04,12
2011-05,12
2011-06,11
2011-07,9
2011-08,14
2011-09,10
2011-10,9
2011-11,11
2011-12,8
2012-01,10
2012-02,11
2012-03,7
2012-04,7
2012-05,9
2012-06,10
2012-07,9
2012-08,11
2012-09,9
2012-10,7
2012-11,11
2012-12,8
2013-01,9
2013-02,10
2013-03,10
2013-04,10
2013-05,11
2013-06,9
2013-07,7
2013-08,9
2013-09,10
2013-10,10
2013-11,9
2013-12,6
2014-01,8
2014-02,11
2014-03,10
2014-04,8
2014-05,9
2014-06,8
2014-07,7
2014-08,8
2014-09,8
2014-10,7
2014-11,8
2014-12,6
2015-01,7
2015-02,7
2015-03,8
2015-04,8
2015-05,8
2015-06,8
2015-07,6
2015-08,9
2015-09,9
2015-10,10
2015-11,9
2015-12,8
2016-01,8
2016-02,11
2016-03,11
2016-04,10
2016-05,16
2016-06,14
2016-07,16
2016-08,20
2016-09,17
2016-10,18
2016-11,31
2016-12,42
2017-01,38
2017-02,55
2017-03,40
2017-04,33
2017-05,62
2017-06,75
2017-07,59
2017-08,69
2017-09,54
2017-10,61
2017-11,71
2017-12,55
2018-01,71
2018-02,88
2018-03,62
2018-04,57
2018-05,76
2018-06,54
2018-07,43
2018-08,70
2018-09,45
2018-10,66
2018-11,90
2018-12,56
2019-01,64
2019-02,58
2019-03,49
2019-04,46
2019-05,50
2019-06,39
2019-07,39
2019-08,45
2019-09,35
2019-10,41
2019-11,46
2019-12,34
2020-01,38
2020-02,68
2020-03,61
2020-04,49
2020-05,62
2020-06,52
2020-07,59
2020-08,81
2020-09,100
2020-10,61
2020-11,58
2020-12,43
