Category: All categories

Month,TSLA: (Worldwide)
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,<1
2011-08,1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,1
2012-03,1
2012-04,<1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,2
2013-03,1
2013-04,3
2013-05,12
2013-06,8
2013-07,9
2013-08,14
2013-09,10
2013-10,14
2013-11,15
2013-12,10
2014-01,9
2014-02,15
2014-03,11
2014-04,9
2014-05,10
2014-06,8
2014-07,7
2014-08,8
2014-09,8
2014-10,9
2014-11,6
2014-12,6
2015-01,5
2015-02,8
2015-03,7
2015-04,8
2015-05,8
2015-06,6
2015-07,6
2015-08,8
2015-09,6
2015-10,7
2015-11,6
2015-12,4
2016-01,5
2016-02,9
2016-03,8
2016-04,12
2016-05,8
2016-06,9
2016-07,9
2016-08,7
2016-09,6
2016-10,8
2016-11,8
2016-12,7
2017-01,8
2017-02,12
2017-03,9
2017-04,12
2017-05,13
2017-06,13
2017-07,15
2017-08,11
2017-09,8
2017-10,10
2017-11,13
2017-12,8
2018-01,9
2018-02,9
2018-03,11
2018-04,14
2018-05,15
2018-06,16
2018-07,16
2018-08,31
2018-09,26
2018-10,30
2018-11,14
2018-12,13
2019-01,17
2019-02,18
2019-03,31
2019-04,36
2019-05,39
2019-06,29
2019-07,22
2019-08,14
2019-09,12
2019-10,19
2019-11,18
2019-12,19
2020-01,41
2020-02,75
2020-03,47
2020-04,38
2020-05,32
2020-06,33
2020-07,67
2020-08,63
2020-09,100
2020-10,46
2020-11,48
2020-12,63
